Time ,Open,High,Low,Close,Volume 
2021.03.18 01:00:00,1.19857,1.19867,1.19671,1.19694,4711.35
2021.03.18 02:00:00,1.19694,1.19713,1.19656,1.1971,3304.9
2021.03.18 03:00:00,1.19708,1.19753,1.19589,1.19593,7410.87
2021.03.18 04:00:00,1.19594,1.19643,1.19555,1.19616,3851.06
2021.03.18 05:00:00,1.19615,1.19689,1.1959,1.1965,4056.29
2021.03.18 06:00:00,1.19651,1.198,1.1965,1.19796,4662.33
2021.03.18 07:00:00,1.19795,1.1989,1.19429,1.19475,14528.63
2021.03.18 08:00:00,1.19476,1.19558,1.19352,1.19476,11353.08
2021.03.18 09:00:00,1.19475,1.19505,1.19373,1.19424,9518.9
2021.03.18 10:00:00,1.19424,1.19442,1.19344,1.19401,7135.7
2021.03.18 11:00:00,1.19399,1.19501,1.19368,1.19414,8209.56
2021.03.18 12:00:00,1.19415,1.19478,1.19219,1.19283,15584.33
2021.03.18 13:00:00,1.19282,1.19294,1.19105,1.19168,15198.75
2021.03.18 14:00:00,1.19167,1.19253,1.19087,1.19201,15778.39
2021.03.18 15:00:00,1.19198,1.19285,1.19157,1.19263,11346.64
2021.03.18 16:00:00,1.19262,1.19389,1.19172,1.19207,9393.49
2021.03.18 17:00:00,1.19206,1.19319,1.19155,1.19294,6395.71
2021.03.18 18:00:00,1.19295,1.19302,1.19088,1.19135,7033.98
2021.03.18 19:00:00,1.19135,1.19172,1.19064,1.19103,7895.78
2021.03.18 20:00:00,1.19103,1.19188,1.19103,1.19166,3171.85
2021.03.18 21:00:00,1.19166,1.19192,1.19117,1.19138,717.22
2021.03.18 22:00:00,1.19139,1.19208,1.19139,1.19174,1210.98
2021.03.18 23:00:00,1.19174,1.19196,1.19143,1.19179,2114.78
2021.03.19 00:00:00,1.19179,1.19189,1.19045,1.19075,3099.82
2021.03.19 01:00:00,1.19076,1.19133,1.1903,1.19101,4722.92
2021.03.19 02:00:00,1.191,1.1911,1.19023,1.19091,3140.48
2021.03.19 03:00:00,1.1909,1.19167,1.1905,1.19144,4608.46
2021.03.19 04:00:00,1.19142,1.192,1.19126,1.1919,2864.35
2021.03.19 05:00:00,1.19188,1.19193,1.19112,1.19182,2742.9
2021.03.19 06:00:00,1.19178,1.19277,1.19137,1.19256,6109.47
2021.03.19 07:00:00,1.19257,1.19374,1.19199,1.19324,7612.07
2021.03.19 08:00:00,1.19325,1.19371,1.19212,1.19231,7793.08
2021.03.19 09:00:00,1.19229,1.19234,1.18927,1.18936,7433.7
2021.03.19 10:00:00,1.18935,1.18987,1.18908,1.18981,5701.67
2021.03.19 11:00:00,1.1898,1.19094,1.1895,1.18993,5327.44
2021.03.19 12:00:00,1.18994,1.19054,1.18942,1.18999,9300.31
2021.03.19 13:00:00,1.18999,1.19045,1.18741,1.18814,23357.68
2021.03.19 14:00:00,1.18813,1.18873,1.18764,1.18864,10814.37
2021.03.19 15:00:00,1.18864,1.19122,1.18845,1.19091,10181.08
2021.03.19 16:00:00,1.19089,1.19119,1.19002,1.19077,7716.82
2021.03.19 17:00:00,1.19074,1.19112,1.1905,1.19094,3811.94
2021.03.19 18:00:00,1.19095,1.19126,1.19059,1.19083,3341.07
2021.03.19 19:00:00,1.19085,1.191,1.19054,1.19054,3005.96
2021.03.19 20:00:00,1.19052,1.19074,1.19024,1.19049,6796.79
2021.03.21 21:00:00,1.18773,1.18875,1.18741,1.18816,973.8687
2021.03.21 22:00:00,1.18815,1.18889,1.18777,1.18847,3684.55
2021.03.21 23:00:00,1.18849,1.18903,1.1882,1.1884,1307.19
2021.03.22 00:00:00,1.18839,1.18928,1.18839,1.18854,2869.23
2021.03.22 01:00:00,1.18854,1.1887,1.18754,1.18848,3894.56
2021.03.22 02:00:00,1.18847,1.18934,1.18847,1.18928,2565.38
2021.03.22 03:00:00,1.18928,1.18984,1.18918,1.18952,2545.85
2021.03.22 04:00:00,1.18953,1.18993,1.18932,1.18937,1868.11
2021.03.22 05:00:00,1.18934,1.19,1.18916,1.18939,1947.73
2021.03.22 06:00:00,1.18938,1.18959,1.18823,1.1883,4193.83
2021.03.22 07:00:00,1.18829,1.18891,1.18748,1.18844,8459.56
2021.03.22 08:00:00,1.18844,1.19063,1.1876,1.19022,10098.45
2021.03.22 09:00:00,1.19024,1.19059,1.18934,1.19003,5964.2
2021.03.22 10:00:00,1.19005,1.19111,1.18996,1.19107,5606.35
2021.03.22 11:00:00,1.19107,1.19307,1.191,1.19278,7456.79
2021.03.22 12:00:00,1.19279,1.19315,1.19168,1.19232,7704.43
2021.03.22 13:00:00,1.19232,1.19283,1.19107,1.1917,8558.46
2021.03.22 14:00:00,1.19168,1.19275,1.19135,1.19218,10363.62
2021.03.22 15:00:00,1.19219,1.19396,1.19205,1.19319,7951.72
2021.03.22 16:00:00,1.19321,1.19395,1.19286,1.19394,5569.4
2021.03.22 17:00:00,1.19394,1.1947,1.19352,1.19415,4718.97
2021.03.22 18:00:00,1.19415,1.19443,1.19401,1.19421,3176.54
2021.03.22 19:00:00,1.19418,1.19422,1.19357,1.19364,2332.77
2021.03.22 20:00:00,1.19363,1.19378,1.19327,1.19329,2324.66
2021.03.22 21:00:00,1.19327,1.1937,1.19316,1.19356,1324.16
2021.03.22 22:00:00,1.19354,1.19359,1.19321,1.19338,830.2984
2021.03.22 23:00:00,1.1934,1.19362,1.1929,1.19325,1181.53
2021.03.23 00:00:00,1.19325,1.19409,1.19287,1.19338,3275.49
