Time (EET),Open,High,Low,Close,Volume 
2010.07.16 04:00:00,1.29101,1.29161,1.2906,1.29088,438.1
2010.07.16 04:15:00,1.29111,1.29183,1.29076,1.29141,335.3
2010.07.16 04:30:00,1.29133,1.29161,1.29089,1.29124,370.3
2010.07.16 04:45:00,1.29137,1.29219,1.29096,1.29195,374.9
2010.07.16 05:00:00,1.29212,1.29228,1.29141,1.29198,1184
2010.07.16 05:15:00,1.292,1.29209,1.29131,1.29166,957.8
2010.07.16 05:30:00,1.29176,1.29183,1.29065,1.2908,718.2
2010.07.16 05:45:00,1.2908,1.29145,1.29044,1.29112,815.1
2010.07.16 06:00:00,1.29108,1.29176,1.29072,1.29125,849.6
2010.07.16 06:15:00,1.29118,1.29165,1.29082,1.2912,620
2010.07.16 06:30:00,1.29106,1.29128,1.29005,1.29052,1014.5
2010.07.16 06:45:00,1.29071,1.29164,1.29015,1.29136,1072.5
2010.07.16 07:00:00,1.29153,1.2926,1.29089,1.29214,861.9
2010.07.16 07:15:00,1.29219,1.29298,1.29187,1.29244,744.2
2010.07.16 07:30:00,1.29241,1.29248,1.29147,1.29215,633.4
2010.07.16 07:45:00,1.29201,1.29239,1.29137,1.29159,611.7
2010.07.16 08:00:00,1.29127,1.29169,1.29054,1.29119,756.7
2010.07.16 08:15:00,1.29112,1.29185,1.29058,1.29155,644.9
2010.07.16 08:30:00,1.29163,1.29236,1.29139,1.29169,819.2
2010.07.16 08:45:00,1.29185,1.29201,1.29012,1.29047,790.3
2010.07.16 09:00:00,1.29029,1.291,1.28908,1.29034,949.7
2010.07.16 09:15:00,1.29051,1.29113,1.28878,1.29023,899.4
2010.07.16 09:30:00,1.28996,1.29155,1.28967,1.29065,936.3
2010.07.16 09:45:00,1.29085,1.29117,1.28905,1.28936,899.7
2010.07.16 10:00:00,1.28941,1.29286,1.28941,1.29263,1350.3
2010.07.16 10:15:00,1.29267,1.29465,1.29196,1.29397,1042.1
2010.07.16 10:30:00,1.2939,1.29489,1.29303,1.29374,955.8
2010.07.16 10:45:00,1.29382,1.2944,1.29342,1.29422,1030
2010.07.16 11:00:00,1.29397,1.29436,1.29311,1.29402,1091.5
2010.07.16 11:15:00,1.29393,1.29416,1.29202,1.29271,1191.1
2010.07.16 11:30:00,1.2927,1.29408,1.29195,1.29395,1100.5
2010.07.16 11:45:00,1.29383,1.29566,1.29367,1.29453,1043.3
2010.07.16 12:00:00,1.2946,1.29799,1.29355,1.29755,1145.3
2010.07.16 12:15:00,1.29742,1.29804,1.29644,1.29776,991.1
2010.07.16 12:30:00,1.29769,1.29826,1.29663,1.29718,1118.2
2010.07.16 12:45:00,1.2972,1.29869,1.29675,1.29814,1119.9
2010.07.16 13:00:00,1.29783,1.29811,1.29572,1.29629,1086.8
2010.07.16 13:15:00,1.29632,1.29734,1.29567,1.29688,904.7
2010.07.16 13:30:00,1.29675,1.29799,1.29632,1.29742,833.5
2010.07.16 13:45:00,1.29743,1.29767,1.29533,1.2957,863.1
2010.07.16 14:00:00,1.29571,1.29817,1.29523,1.29792,1107.8
